@relation RFKON_train
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:c7:6b:67_inonet numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 18:28:61:c7:6b:40_evarobot_wifi numeric
@attribute 98:fc:11:d7:73:e4_inonet-104 numeric
@attribute 18:28:61:72:86:cc_isimbulamadimp numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 08:37:3d:c7:8d:ea_B.B. numeric
@attribute 06:18:d6:c2:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 88:e3:ab:57:c1:14_VINNWiFi-c114 numeric
@attribute 4c:5e:0c:6f:73:41_feniks-2 numeric
@attribute 64:70:02:a4:35:04_regulateurrestaurant numeric
@attribute 'ba:b4:2e:cd:29:8a_BLU LIFE PLAY' numeric
@attribute e8:37:7a:6c:7f:55_TTNET_ZyXEL_CA3E numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute 38:2d:d1:3e:15:9d_isimbulamadimxx numeric
@attribute '3c:33:00:50:6c:77_RC Leading-506c77' numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute REF_POINT {1,6,7,8,9,10,11,12,50,51,52,53,54}

@data
100,-66,100,100,100,-51,-84,-66,-44,-73,100,100,100,100,-62,-38,100,-52,100,100,100,-54,100,100,100,100,-52,-69,100,100,100,100,-59,100,-67,100,100,53
100,-66,100,100,100,-51,100,-67,-45,100,100,100,-71,100,-64,-37,100,-52,100,100,100,-56,100,100,100,100,-54,-69,100,100,100,100,-59,100,-67,100,100,53
100,-70,-85,-85,100,-58,100,-70,-43,100,-69,100,100,100,-63,-33,100,-50,100,100,100,-55,100,100,100,100,-52,-69,100,100,100,100,-68,100,-71,100,100,53
-76,100,100,100,100,-58,100,-75,-45,-71,100,100,-70,100,-66,-37,100,-59,100,100,100,-53,-75,100,100,100,-52,-70,100,100,100,100,-68,100,-72,100,100,53
100,100,100,-84,100,-56,100,-67,-44,-70,100,100,-69,100,-67,-36,100,-51,100,100,100,-54,100,100,100,100,-52,-68,100,100,100,100,100,100,-78,100,100,53
100,-67,100,100,100,100,100,-77,-45,100,100,100,100,100,-61,-35,100,100,100,100,100,-52,-78,100,100,100,-51,-70,100,100,100,100,100,-76,-63,100,100,53
100,100,100,100,100,-52,100,-67,-43,100,100,100,-72,100,-60,-35,100,-48,100,100,100,-53,100,100,100,100,-50,-68,100,100,100,100,-60,100,-74,100,100,53
100,100,100,100,100,-55,100,-66,-49,100,-66,100,100,100,-60,-37,100,-48,100,100,100,-56,-81,100,100,100,-52,-68,100,100,100,100,-58,-75,-65,100,100,53
100,-73,100,100,100,-54,100,-67,-45,-71,100,100,100,100,100,-36,100,-50,100,100,100,-53,100,100,100,100,-52,-69,100,100,100,100,-58,100,-64,100,100,53
100,100,100,100,100,-53,100,100,-44,100,100,100,100,100,-60,-36,100,-50,100,100,100,-55,100,100,100,100,-51,-68,100,100,100,100,-57,100,100,100,100,53
100,100,100,-76,100,-52,-85,-68,-44,-71,-67,100,-71,100,-60,-36,100,-48,100,100,100,-53,100,100,100,100,-52,-67,100,100,100,100,-59,-87,-63,100,100,53
-77,-75,100,100,100,-52,100,-68,-47,-70,-67,100,-69,100,-61,-36,100,-50,100,100,100,-55,-82,100,100,100,-52,-68,100,100,100,100,-59,-76,-64,100,100,53
-77,-76,100,100,100,-53,100,-68,-47,-70,100,100,-71,100,-61,-35,100,-47,100,100,100,-55,-83,100,100,100,-55,-68,100,100,100,100,-60,-77,-64,100,100,53
-76,-76,100,100,100,-51,-74,-67,-48,-70,-68,100,-70,100,-58,-35,100,-50,100,100,100,-54,-80,100,100,100,-53,-68,100,100,100,100,-60,-76,-64,100,100,53
100,100,100,100,100,-57,100,-72,-48,-69,100,100,-70,100,-61,-36,100,-51,100,100,100,-55,-81,100,100,100,-51,-68,100,100,100,100,-56,-76,-65,100,100,53
-77,100,100,-82,100,-52,100,-67,-48,100,100,100,100,100,100,-37,100,-51,100,100,100,-52,100,100,100,100,-52,-68,100,100,100,100,-60,100,-64,100,100,53
-76,-73,100,100,100,-53,-86,-78,-48,-69,100,100,100,100,-59,-35,100,-50,100,100,100,-51,-82,100,100,100,-50,-68,100,100,100,100,-57,-75,-64,100,100,53
100,100,100,100,100,-52,-75,-67,-48,-70,100,100,-72,100,-63,-35,100,-51,100,100,100,-54,100,100,100,100,-52,-69,100,100,100,100,-63,-75,-65,100,100,53
100,100,-87,100,100,-54,-82,-65,-44,-71,100,100,100,100,-60,-35,100,-52,100,100,100,-56,-80,100,100,100,-51,-69,100,100,100,100,-58,-77,-64,100,100,53
100,-74,100,100,100,-52,100,-65,-47,-71,-69,100,100,100,-60,-36,100,-50,100,100,100,-55,-82,100,100,100,-52,-69,100,100,100,100,-56,100,-63,100,100,53
-74,-72,100,-85,100,-54,100,-77,-47,-68,100,100,-69,100,-59,-36,100,-53,100,100,100,-56,-83,100,100,100,-52,-70,100,100,100,100,-59,100,-66,100,100,53
100,-75,100,100,100,-52,-83,-66,-43,-70,-67,100,-68,100,-67,-35,100,-51,100,100,100,-56,-78,100,100,100,-53,-70,100,100,100,100,-62,-74,-62,100,100,53
100,-78,100,100,100,-57,100,-63,-46,-72,100,100,-68,100,-64,-34,100,-52,100,100,100,-57,100,100,100,100,-52,-69,100,100,100,100,-63,-75,-64,100,100,53
100,100,100,100,100,-52,100,-63,-47,-70,-66,100,-69,100,-62,-35,100,-52,100,100,100,-55,100,100,100,100,-53,-70,100,100,100,100,-65,100,-64,100,100,53
100,-78,100,100,100,-52,100,100,-47,100,-66,100,100,100,-63,-35,100,-51,100,100,100,-57,100,100,100,100,-54,-57,100,100,100,100,-65,100,-63,100,100,53
100,100,100,100,100,-53,100,-75,-49,100,100,100,-70,100,-61,-35,100,-51,100,100,100,-57,100,100,100,100,-51,-59,100,100,100,100,-63,100,-64,100,100,53
100,100,100,100,100,100,100,100,-46,100,100,100,-69,100,100,-35,100,-51,100,100,100,-57,-74,100,100,100,-53,-70,100,100,100,100,-63,100,-64,100,100,53
100,-73,100,-87,100,-50,100,100,-45,-72,-67,100,100,100,-63,-36,100,-50,100,100,100,-58,-76,100,100,100,-54,-70,100,100,100,100,-62,-69,-65,100,100,53
-76,-74,100,-83,100,-48,100,-77,-45,-71,100,100,-69,100,-62,-36,100,-51,100,100,100,-57,-74,100,100,100,-53,-69,100,100,100,100,-62,-72,-63,100,100,53
100,-74,100,100,100,-53,-84,-63,-48,-71,100,100,100,100,-61,-35,100,-52,100,100,100,-53,100,100,100,100,-56,-69,100,100,100,100,-60,-72,-64,100,100,53
-77,100,100,-85,100,-53,100,-76,-47,-71,-67,100,-69,100,-62,-34,100,-52,100,100,100,-63,-74,100,100,100,-52,-70,100,100,100,100,-63,100,-65,100,100,53
-78,100,100,100,100,100,-85,100,-42,-70,-67,100,100,100,-63,-35,100,-52,100,100,100,-57,-75,100,100,100,-53,-70,100,100,100,100,-63,-72,-66,100,100,53
-78,100,100,-84,100,-50,-84,-64,-46,-71,100,100,-74,100,-63,-35,100,-50,100,100,100,-56,100,100,100,100,-53,-71,100,100,100,100,-65,-70,-66,100,100,53
-78,100,-86,100,100,-49,-85,-64,-47,100,100,100,-72,100,-61,-35,100,-52,100,100,100,-56,-73,100,100,100,-52,-70,100,100,100,100,-63,-71,-64,100,100,53
-78,-71,100,100,100,-60,100,100,-45,100,100,100,100,100,-63,-35,100,-52,100,100,100,-57,-75,100,100,100,-52,-70,100,100,100,100,-65,-71,-64,100,100,53
100,100,100,100,100,-50,-84,-64,-49,-72,-65,100,-69,100,-60,-35,100,-50,100,100,100,-57,-74,100,100,100,-53,-70,100,100,100,100,-65,-71,-64,100,100,53
-83,-75,100,100,100,-51,-82,100,-45,-72,100,100,100,100,-63,-35,100,-50,100,100,100,-56,-77,100,100,100,-53,-70,100,100,100,100,-66,-71,-66,100,100,53
-80,100,100,100,100,-52,100,-73,-46,-70,100,100,-72,100,-63,-35,100,-52,100,100,100,-57,-74,100,100,100,-52,-71,100,100,100,100,-66,-71,-65,100,100,53
-79,-73,100,100,100,-52,100,-64,-46,-71,100,100,-72,100,-62,-35,100,-52,100,100,100,-54,100,100,100,100,-51,-70,100,100,100,100,-67,-71,-67,100,100,53
-76,-74,100,100,100,-50,-84,-64,-45,-73,100,100,-70,100,-61,-35,100,-51,100,100,100,-56,-74,100,100,100,-53,-69,100,100,100,100,-63,100,-65,100,100,53
-77,100,100,-74,100,-49,100,-63,100,-72,-67,100,-68,100,-60,-35,100,-53,100,100,100,-56,-74,100,100,100,-51,-69,100,100,100,100,-64,-72,-64,100,100,53
100,-74,100,-86,100,-50,-85,-64,-45,-72,100,100,-70,100,-63,-35,100,-49,100,100,100,100,100,100,100,100,-51,-70,100,100,100,100,-66,100,-65,100,100,53
-77,-73,100,-86,100,-51,100,-66,-46,100,100,100,100,100,-62,-35,100,-52,100,100,100,-57,-76,100,100,100,-51,-71,100,100,100,100,-66,100,100,100,100,53
100,-74,100,100,100,100,100,-68,-47,-73,100,100,100,100,-61,-35,100,-50,100,100,100,-56,100,100,100,100,-51,-70,100,100,100,100,-61,100,-65,100,100,53
100,100,100,100,100,-52,100,-71,-46,100,100,100,100,100,-64,-37,100,-51,100,100,100,-57,-77,100,100,100,-49,-70,100,100,100,100,-61,100,-64,100,100,53
-79,-75,100,100,-92,-51,-85,100,-44,-72,100,100,-71,100,-62,-37,100,-51,100,100,100,-52,-80,100,100,100,-50,-70,100,100,100,100,-63,-71,-63,100,100,53
100,-76,100,100,100,-53,-82,-65,-43,-72,100,100,100,100,-63,-37,100,-51,100,100,100,-54,100,100,100,100,-49,-71,100,100,100,100,-62,-68,-63,100,100,53
100,-67,100,100,100,-59,-82,-76,-28,-64,100,100,100,100,-55,-35,100,-58,100,100,100,-52,100,100,100,100,-59,-68,100,100,100,100,100,-76,100,100,100,1
-72,100,100,-82,100,-62,-80,-72,-29,-64,100,100,-74,100,-51,-35,100,-57,100,100,100,-50,100,100,100,100,-63,-68,100,100,100,100,100,-76,100,100,100,1
100,-69,100,100,100,-62,100,-70,-63,-66,100,100,100,100,-51,-35,100,-57,100,100,100,-51,-78,100,100,100,-60,-68,100,100,100,100,100,-76,100,100,100,1
-72,-68,100,100,100,-60,-81,-69,-31,-65,100,100,-72,100,-51,-80,100,-57,100,100,100,-52,-78,100,100,100,-60,-68,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-62,-84,-69,-28,-65,100,100,-73,100,-51,100,100,-56,100,100,100,-51,100,100,100,100,-58,-67,100,100,100,100,100,100,100,100,100,1
-72,-65,-86,100,100,-60,-77,-70,-29,-64,-72,100,-72,100,-51,-35,100,-57,100,100,100,-52,100,100,100,100,-60,-69,100,100,100,100,100,-74,100,100,100,1
-72,100,100,100,100,-66,100,-70,-29,-65,100,100,-71,100,-51,-36,100,-56,100,100,100,-50,-76,100,100,100,-59,-68,100,100,100,100,100,-74,100,100,100,1
-72,-73,100,-86,100,-58,100,-72,-26,-66,100,100,-74,100,-51,-35,100,-56,100,100,100,-49,-73,100,100,100,-59,-67,100,100,100,100,100,100,100,100,100,1
100,-67,100,100,100,-57,-82,-72,-29,-67,100,100,100,100,-51,-35,100,-57,100,100,100,-52,100,100,100,100,-57,-67,100,100,100,100,100,100,100,100,100,1
100,-69,100,100,100,100,100,-72,100,100,100,100,100,100,-51,-36,100,-57,100,100,100,-53,100,100,100,100,-59,-68,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-60,100,100,-28,100,100,100,100,100,-51,-35,100,100,100,100,100,-50,100,100,100,100,-57,-68,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,-75,-29,-67,100,100,-71,100,-50,-40,100,-57,100,100,100,-53,100,100,100,100,-59,-68,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-61,-83,100,-29,-65,100,100,-72,100,-51,-36,100,-56,100,100,100,-52,100,100,100,100,-58,-68,100,100,100,100,100,100,100,100,100,1
-72,-67,100,100,100,-60,100,-76,-28,-66,100,100,-72,100,-53,-35,100,-57,100,100,100,-53,-75,100,100,100,-59,-67,100,100,100,100,100,100,100,100,100,1
100,-67,100,100,100,-63,100,-79,-28,100,100,100,100,100,-50,-35,100,-57,100,100,100,-55,-78,100,100,100,-57,-67,100,100,100,100,100,-78,100,100,100,1
-74,100,100,-85,100,-60,-83,-72,-28,-65,100,100,-72,100,-51,-36,100,-56,100,100,100,-53,100,100,100,100,-57,-67,100,100,100,100,100,100,100,100,100,1
-72,-67,100,100,100,-61,100,-72,-29,100,-71,100,100,100,-51,-36,100,-56,100,100,100,-52,100,100,100,100,-58,-67,100,100,100,100,100,100,100,100,100,1
100,-66,100,100,100,-60,100,-72,-28,-66,100,100,-72,100,-51,-36,100,-56,100,100,100,-51,100,100,100,100,-58,-67,100,100,100,100,100,100,100,100,100,1
-72,-66,100,100,100,-62,100,100,-29,-67,100,100,100,100,-51,-35,100,-56,100,100,100,-50,-78,100,100,100,-57,-66,100,100,100,100,100,100,100,100,100,1
-72,-66,100,-85,100,-60,100,-73,100,-68,100,100,100,100,-51,100,100,-56,100,100,100,-50,100,100,100,100,-59,-66,100,100,100,100,100,-78,100,100,100,1
-72,-66,100,100,-85,-63,-83,-73,-29,-66,-72,100,-73,100,-50,-35,100,-56,100,100,100,-52,-78,100,100,100,-58,-66,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-61,-84,-78,-31,-65,100,100,-74,100,-51,-36,100,-57,100,100,100,-52,100,100,100,100,-60,-64,100,100,100,100,100,100,100,100,100,1
100,-65,-81,100,100,-59,-83,-79,-29,-67,100,100,-74,100,-51,-86,100,-56,100,100,100,-51,100,100,100,100,-62,-67,100,100,100,100,100,-78,100,100,100,1
100,100,-83,100,100,-61,100,100,-29,-66,-72,100,-73,100,-51,-36,100,-57,100,100,100,-52,-73,100,100,100,-59,-66,100,100,100,100,100,-78,100,100,100,1
-73,-66,-86,100,100,-61,100,-77,-29,-66,100,100,-74,100,-51,-40,100,-56,100,100,100,-52,-72,100,100,100,-57,-66,100,100,100,100,100,100,100,100,100,1
-72,-66,100,100,100,-63,100,100,-29,-66,100,100,-73,100,-51,-35,100,-57,100,100,100,-50,-73,100,100,100,-59,-67,100,100,100,100,100,-78,100,100,100,1
100,-66,100,100,100,-60,100,-72,-28,100,100,100,-74,100,-51,-36,100,-58,100,100,100,-53,100,100,100,100,-59,-68,100,100,100,100,100,100,100,100,100,1
100,-66,100,100,100,-62,100,100,-28,100,100,100,100,100,-51,-36,100,-57,100,100,100,-50,-72,100,100,100,-58,-68,100,100,100,100,100,100,100,100,100,1
100,-69,100,100,100,-66,100,-77,-29,100,100,100,100,100,-51,-36,100,-56,100,100,100,-52,100,100,100,100,-58,-69,100,100,100,100,100,100,100,100,100,1
100,100,100,-85,100,-62,-82,-74,100,100,100,100,100,100,-51,100,100,-56,100,100,100,-53,100,100,100,100,-57,-69,100,100,100,100,100,100,100,100,100,1
-73,-67,-83,100,100,-60,100,-73,-29,-67,100,100,-72,100,-51,-36,100,-56,100,100,100,-51,100,100,100,100,-60,-69,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-62,-83,-74,-29,-67,100,100,-73,100,-51,-36,100,-57,100,100,100,-51,-79,100,100,100,-60,-68,100,100,100,100,100,100,100,100,100,1
-73,-67,100,100,100,-62,100,100,-29,-66,100,100,-66,100,-51,-36,100,-56,100,100,100,-52,-78,100,100,100,-58,-68,100,100,100,100,100,-78,100,100,100,1
-73,-67,100,100,100,-62,-83,-76,-28,-66,-73,100,-73,100,-51,-36,100,-57,100,100,100,-52,-77,100,100,100,-58,-67,100,100,100,100,100,-79,100,100,100,1
100,-67,100,100,100,-61,100,-76,-29,-66,100,100,-75,100,-51,-35,100,-57,100,100,100,-52,100,100,100,100,-58,-68,100,100,100,100,100,100,100,100,100,1
-73,-66,100,100,100,100,100,-76,-28,-66,100,100,100,100,-50,-35,100,-58,100,100,100,-53,100,100,100,100,-59,-68,100,100,100,100,100,100,100,100,100,1
100,-67,100,100,100,-59,-83,-74,-28,-66,-73,100,-72,100,-51,-35,100,-57,100,100,100,-53,-78,100,100,100,-59,-69,100,100,100,100,100,-78,100,100,100,1
100,-67,100,100,100,-59,-84,-75,-45,100,100,100,-72,100,-51,-74,100,-57,100,100,100,-48,100,100,100,100,-58,-68,100,100,100,100,100,-79,100,100,100,1
-74,-66,100,100,100,-56,100,-74,-28,-65,100,100,100,100,-50,-36,100,-56,100,100,100,-50,-80,100,100,100,-57,-68,100,100,100,100,100,-80,100,100,100,1
-76,-67,100,100,100,-60,100,-72,-28,-65,100,100,-73,100,-51,-36,100,-56,100,100,100,-53,-79,100,100,100,-57,-69,100,100,100,100,100,-79,100,100,100,1
100,-68,100,100,100,-57,100,-74,-28,100,100,100,-72,100,-51,-36,100,-56,100,100,100,-50,-80,100,100,100,-59,-69,100,100,100,100,100,-78,100,100,100,1
-67,-67,100,100,100,-59,-83,-71,-29,-66,-73,100,100,100,-51,-36,100,-56,100,100,100,-53,-79,100,100,100,-57,-69,100,100,100,100,100,100,100,100,100,1
-74,-67,100,100,100,-59,-85,-71,-27,-65,100,100,100,100,-50,-36,100,-57,100,100,100,-52,-77,100,100,100,-56,-69,100,100,100,100,100,100,100,100,100,1
100,100,100,100,-86,-57,100,-71,-29,-65,100,100,100,100,-50,-36,100,-57,100,100,100,-52,-71,100,100,100,-57,-69,100,100,100,100,100,100,100,100,100,1
100,100,100,-90,100,100,100,-71,-29,-66,100,100,100,100,-51,-36,100,-56,100,100,100,-53,100,100,100,100,-56,-69,100,100,100,100,100,100,100,100,100,1
100,-67,100,100,100,-58,100,100,-29,100,100,100,100,100,-50,100,100,-55,100,100,100,-52,100,100,100,100,-57,-68,100,100,100,100,100,100,100,100,100,1
100,-70,100,-86,100,-57,100,-71,100,-65,100,100,100,100,-50,-36,100,-56,100,100,100,-51,100,100,100,100,-56,-69,100,100,100,100,100,100,100,100,100,1
100,-67,100,-84,100,100,100,-72,-28,-64,100,100,-73,100,-50,-36,100,-57,100,100,100,-52,-72,100,100,100,-57,-69,100,100,100,100,100,100,100,100,100,1
-73,100,100,100,100,-57,100,-76,-28,-86,100,100,100,100,-50,-36,100,-56,100,100,100,-53,-73,100,100,100,-56,-69,100,100,100,100,100,100,100,100,100,1
100,-68,100,-86,100,-56,100,-77,-28,-66,100,100,100,100,-51,-36,100,-54,100,100,100,-53,100,100,100,100,-59,-69,100,100,100,100,100,-79,100,100,100,1
100,100,100,100,100,-55,100,100,-28,-66,100,100,-74,100,-51,-36,100,-57,100,100,100,-53,100,100,100,100,-58,-71,100,100,100,100,100,-79,100,100,100,1
-72,100,100,100,100,100,100,-81,-28,-65,100,100,-72,100,-51,-36,100,-54,100,100,100,-53,100,100,100,100,-59,-71,100,100,100,100,100,100,100,100,100,1
-73,-68,100,100,100,-57,100,-75,-29,-66,100,100,100,100,-51,-36,100,-57,100,100,100,-53,-71,100,100,100,-58,-70,100,100,100,100,100,-79,100,100,100,1
100,-67,100,100,100,-59,100,-73,-28,-66,100,100,-75,100,-51,-36,100,-56,100,100,100,-53,-69,100,100,100,-58,-69,100,100,100,100,100,-79,100,100,100,1
100,-67,100,100,100,-60,100,-75,-29,100,-72,100,-75,100,-51,-36,100,-57,100,100,100,-53,-70,100,100,100,-57,-69,100,100,100,100,100,-78,100,100,100,1
-74,100,100,-87,100,-61,-82,-74,-28,-66,100,100,100,100,-51,-36,100,-57,100,100,100,-53,-71,100,100,100,-57,-70,100,100,100,100,100,100,100,100,100,1
100,-69,100,100,100,-59,-84,-73,-29,-67,100,100,-73,100,-50,-36,100,-57,100,100,100,-53,-71,100,100,100,-57,-69,100,100,100,100,100,100,100,100,100,1
-72,100,100,100,100,-57,-82,-72,-29,-67,100,100,100,100,-50,-36,100,-57,100,100,100,-52,-68,100,100,100,-58,-68,100,100,100,100,100,-78,100,100,100,1
-74,-66,100,-88,100,-60,100,100,-28,-66,-72,100,-75,100,-48,-36,100,-57,100,100,100,-51,100,100,100,100,-57,-68,100,100,100,100,100,-77,100,100,100,1
-74,-67,100,100,100,100,-82,-73,-29,-66,100,100,-73,100,-50,-36,100,-57,100,100,100,100,-71,100,100,100,-56,-68,100,100,100,100,100,100,100,100,100,1
-72,-66,100,100,100,-59,-81,-76,-29,-66,-72,100,-72,100,-51,-36,100,-57,100,100,100,-52,-72,100,100,100,-59,-67,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-59,100,100,-29,-67,100,100,-72,100,-51,-36,100,-57,100,100,100,-53,-71,100,100,100,-57,-68,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-60,100,-78,-28,100,100,100,100,100,-51,-40,100,-57,100,100,100,-53,100,100,100,100,-57,-69,100,100,100,100,100,100,100,100,100,1
100,-68,100,100,100,-58,100,100,100,-67,100,100,100,100,-50,-36,100,-56,100,100,100,-52,100,100,100,100,-56,-69,100,100,100,100,100,100,100,100,100,1
100,-67,100,100,100,100,100,100,-28,100,-73,100,100,100,100,-36,100,-57,100,100,100,-50,100,100,100,100,-55,-69,100,100,100,100,100,100,100,100,100,1
100,-66,100,100,-86,-64,100,100,-28,-66,100,100,100,100,100,-36,100,-56,100,100,100,-51,-76,100,100,100,-58,-68,100,100,100,100,100,100,100,100,100,1
-73,-69,100,100,100,-65,100,-71,-29,100,100,100,100,100,-51,-36,100,-57,100,100,100,-53,-76,100,100,100,-60,-69,100,100,100,100,100,-76,100,100,100,1
-73,-68,100,100,100,-65,100,-70,-29,-67,100,100,-75,100,-51,-36,100,-57,100,100,100,-53,100,100,100,100,-56,-68,100,100,100,100,100,-87,100,100,100,1
-73,-68,100,100,100,-67,100,-73,-28,-67,100,100,-78,100,-50,-36,100,-56,100,100,100,-53,100,100,100,100,-58,-67,100,100,100,100,100,-75,100,100,100,1
-74,-67,100,100,100,-69,-80,-74,-29,-66,100,100,-66,100,100,-36,100,-57,100,100,100,-54,-77,100,100,100,-58,-67,100,100,100,100,100,-76,100,100,100,1
-73,100,-84,100,100,-66,100,-71,-29,100,100,100,100,100,-51,-36,100,-57,100,100,100,-53,100,100,100,100,-56,-68,100,100,100,100,100,-77,100,100,100,1
100,-67,100,100,100,-66,-66,100,-29,-66,100,100,-73,100,-51,-36,100,-56,100,100,100,-53,100,100,100,100,-55,-68,100,100,100,100,100,100,100,100,100,1
100,-66,-82,100,100,-65,100,-73,-28,-65,100,100,-73,100,-51,-36,100,-56,100,100,100,-52,100,100,100,100,-58,-68,100,100,100,100,100,100,100,100,100,1
-75,-67,100,100,100,-67,-82,-76,-29,-69,100,100,-74,100,-52,-37,100,-56,100,100,100,-53,-73,100,100,100,-56,-60,100,100,100,100,100,100,100,100,100,1
100,100,100,100,100,-68,100,100,-29,-66,100,100,-73,100,-51,-36,100,-57,100,100,100,-53,100,100,100,100,-59,-68,100,100,100,100,100,100,100,100,100,1
100,100,100,-84,100,-50,100,100,-29,-71,100,100,100,100,-55,-44,100,-50,100,100,100,-54,-77,100,100,100,-53,-58,100,100,100,100,100,-71,100,100,100,7
-79,-64,100,100,100,-52,100,-70,-29,-72,100,100,100,100,100,-44,100,-52,100,100,100,-54,-82,100,100,100,-56,-70,100,100,100,100,100,-67,100,100,100,7
-76,100,100,100,100,-52,100,-71,-29,-72,100,100,100,100,-56,-48,100,-51,100,100,100,-54,-83,100,100,100,-54,-68,100,100,100,100,100,-66,100,100,100,7
-80,-65,100,100,100,-51,100,-74,-28,100,100,100,100,100,100,-47,100,-50,100,100,100,-50,-84,100,100,100,-58,-70,100,100,100,100,100,100,100,100,100,7
100,-64,100,100,100,-50,100,-71,-29,-68,-69,100,100,100,-55,-47,100,-51,100,100,100,-56,-82,100,100,100,-52,-68,100,100,100,100,100,-67,100,100,100,7
100,-66,100,100,100,-51,100,-71,-29,100,100,100,100,100,100,-45,100,-51,100,100,100,-56,-82,100,100,100,-53,-69,100,100,100,100,100,-68,100,100,100,7
100,-65,100,100,100,-50,100,-71,-28,-70,-70,100,100,100,-56,-45,100,-50,100,100,100,-55,100,100,100,100,-51,-68,100,100,100,100,100,-67,100,100,100,7
-78,-64,100,100,100,-52,100,100,-29,100,100,100,100,100,-56,-45,100,-51,100,100,100,-56,-75,100,100,100,-52,-68,100,100,100,100,100,100,100,100,100,7
100,-63,100,-82,-85,-52,-85,-71,-28,-68,100,100,-76,100,-56,-46,100,-51,100,100,100,-55,-74,100,100,100,-52,-68,100,100,100,100,100,-67,100,100,100,7
100,100,100,100,100,-69,100,100,-29,100,100,100,100,100,-56,-44,100,-50,100,100,100,-55,100,100,100,100,-53,-68,100,100,100,100,100,100,100,100,100,7
-79,-64,100,100,100,-49,100,-71,-29,100,-69,100,100,100,-55,-45,100,-50,100,100,100,-55,100,100,100,100,-57,-68,100,100,100,100,100,100,100,100,100,7
100,-65,100,100,100,-49,100,100,-28,100,100,100,100,100,-55,-44,100,-54,100,100,100,-50,100,100,100,100,-52,-69,100,100,100,100,100,100,100,100,100,7
-76,-61,100,100,100,-51,100,100,-28,-70,100,100,100,100,-53,-44,100,-49,100,100,100,-56,100,100,100,100,-53,-68,100,100,100,100,100,100,100,100,100,7
100,-63,100,100,100,-52,100,-77,-28,100,100,100,-75,100,-56,-44,100,-50,100,100,100,-56,-73,100,100,100,-54,-68,100,100,100,100,100,100,100,100,100,7
-77,-63,100,-70,100,-53,100,-82,-28,-69,100,100,-78,100,-57,-41,100,-50,100,100,100,-55,-82,100,100,100,-52,-64,100,100,100,100,100,100,100,100,100,7
-78,-63,100,100,100,-51,100,-71,-29,-73,-68,100,-77,100,-89,-47,100,-50,100,100,100,-55,100,100,100,100,-54,-67,100,100,100,100,100,100,100,100,100,7
100,-64,100,-73,100,-50,100,-71,-29,-71,-67,100,-80,100,-57,-44,100,-49,100,100,100,-56,100,100,100,100,-51,-68,100,100,100,100,100,100,100,100,100,7
-79,100,100,100,100,-50,-84,-70,-28,-71,-67,100,-78,100,-57,-44,100,-52,100,100,100,-53,100,100,100,100,-54,-69,100,100,100,100,100,-69,100,100,100,7
-75,-66,100,-86,100,-53,100,-67,-28,-67,100,100,100,100,-54,-49,100,-50,100,100,100,-57,-82,100,100,100,-53,-70,100,100,100,100,100,100,100,100,100,7
-77,-64,100,-81,100,-53,-86,-71,-29,-68,-72,100,100,100,100,-51,100,-50,100,100,100,-56,-80,100,100,100,-53,-67,100,100,100,100,100,100,100,100,100,7
